#Testlevel

#Red Green Blue ;the higher the brighter ;>none< leads to no shadow
shadow:
#0;30;30
none

spawnpoints:
#ID						;PosX;PosY	;Direction
exit					;07		;28			;east
default		;25		;23			;north
elevator	;31		;34			;south

tiledefinition:
#File name convention: inner if wall around player + direction ;outer if player can go around wall + direction of corner
#Naming: FChs_0  ShortName-[wall-hull-roof-floor]-[direction]-[number]
#layer: 0 => behind ;1 => middle ;2 => in front
#Floor
#code     ;name        ;spritename                  ;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
space0    ;space							;floor/space/s0 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
panchT				;name													;walls/signs/pancheia_station									 																												;false				;2												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
SWdocT				;dock													;walls/spaceway/dock_top								  																																	;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;064									 	;064									;130										;none
SWdocB				;dock													;walls/spaceway/dock_btm								  																																	;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;098									 	;064									;130										;none


#transporter
TRws_0				;transportwall				;walls/transporterhull/wall_0								   																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
back_e				;transportHull				;walls/transporterhull/hull_e																																						;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
back_w				;transportHull				;walls/transporterhull/hull_w																																						;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRhs_0				;transportHull				;walls/transporterhull/hull_s_0							  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
TRhs_B				;transportwall				;walls/transporterhull/hull_s_0						   																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;032											;064									;096										;none
TRhsw0				;transportHull				;walls/transporterhull/inner_sw_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
TRhse0				;transportHull				;walls/transporterhull/inner_se_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRwnw0				;transportHull				;walls/transporterhull/inner_nw_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRwne0				;transportHull				;walls/transporterhull/inner_ne_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
fr_ne0				;transportHull				;walls/transporterhull/outer_ne						    																										;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
fr_nw0				;transportHull				;walls/transporterhull/outer_nw					     																										;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
TRwse0				;transportwall				;walls/transporterhull/outer_se							  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRwsw0				;transportwall				;walls/transporterhull/outer_sw							  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
dockTp				;dock													;walls/transporterhull/dock_top						   																											;true					;2												;0			;0												;0				;0				;0										;0											;000											;000											;064									;128										;none
dockTL				;dock													;walls/transporterhull/dock_top_east						   																						;true					;2												;0			;0												;0				;0				;0										;0											;000											;000											;064									;128										;none
dockBm				;dock													;walls/transporterhull/dock_btm						   																											;true					;2												;0			;0												;0				;0				;0										;0											;000											;098											;064									;094										;none
dockBL				;dock													;walls/transporterhull/dock_btm_east	   																											;true					;2												;0			;0												;0				;0				;0										;0											;000											;098											;064									;094										;none
#TRf__0				;transportFloor			;walls/transporterhull/floor_0									 																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRf__1				;transportFloor			;walls/transporterhull/greyFloor_1										 																						;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRf__0				;transportFloor			;floor/greyFloor																							 																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRr__0				;transporterRoof		;walls/transporterhull/roof_0								   																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none

windL0				;window											;walls/window/quadratic128											   																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
windL1				;window											;walls/window/rectangle196x128							   																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none

#freight capsule
FCdocT				;dock													;walls/freightcapsule/dock_top								  																											;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;064									 	;064									;130										;none
FCdoLT				;dock													;walls/freightcapsule/dock_top_left			  																											;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;064									 	;064									;130										;none
FCdocB				;dock													;walls/freightcapsule/dock_btm								  																											;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;098									 	;064									;130										;none
FCdoLB				;dock													;walls/freightcapsule/dock_btm_left			  																											;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;098									 	;064									;130										;none
FCend_				;FCend												;walls/freightcapsule/end													  																											;true					;2												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
FChs_0				;hull													;walls/freightcapsule/hull_0										  																											;true					;1												;0			;0												;0				;0				;0										;0											;000									 	;034									 	;064									;094										;none
FCwn_0				;wall													;walls/freightcapsule/wall_0										  																											;true					;1												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
FCf__0				;floor												;walls/freightcapsule/floor_0									  																											;false				;0												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none

#code   		;name        					;spritename                     																																			;blocker		;heightLayer		;fps ;totalFrames 	;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
staseC				;stase												;../actorData/machine/stasis_capsule/capsule																							;true					;1												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;bluelight_256
batt__				;battery										;../actorData/machine/stasis_capsule/battery/battery_192_64_anim3		;true					;1												;2			;3												;3				;1				;064								;128									;000									 	;000									 	;000									;000										;none
pipe_l				;pipe													;../actorData/machine/stasis_capsule/battery/corner_left											;false				;0												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
pipe_r				;pipe													;../actorData/machine/stasis_capsule/battery/corner_right										;false				;0												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
cross_				;pipe													;../actorData/machine/stasis_capsule/battery/crossing														;false				;0												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
damage				;pipe													;../actorData/machine/stasis_capsule/battery/dmg_64_192_anim4						;false				;1												;4			;4												;4				;1				;064								;192									;000									 	;000									 	;000									;000										;none

#Control Room
contro				;elevator									;../actorData/computer/control/central																													;true					;1												;0			;0												;0				;0				;0										;0											;032									 	;128									 	;320									;064										;none
contrL				;elevator									;../actorData/computer/control/small_left																										;true					;1												;0			;0												;0				;0				;0										;0											;000									 	;032									 	;064									;096										;none
contrR				;elevator									;../actorData/computer/control/small_right																									;true					;1												;0			;0												;0				;0				;0										;0											;000									 	;032									 	;064									;096										;none
projec				;projector								;../actorData/computer/projector/projector_a4																						;true					;1												;4			;5												;4				;1				;128							 ;256									;032									 	;192									 	;064									;064										;bluelight_256
cerex_				;logo													;../actorData/floor/cerex_logo_128_128																													;false				;0												;0			;0												;0				;0				;000							 ;000									;000									 	;000									 	;000									;000										;none
chart_				;chart												;machines/computer/chart																																											;false				;1												;0			;0												;0				;0				;000							 ;000									;000									 	;065									 	;128									;010										;none

#Machine Room
reacto				;reactor										;../actorData/machine/reactor/reactor_320_448_6																				;true					;1												;6			;6												;6				;1				;320							 ;448									;000									 	;096									 	;320									;352										;none
thrust				;ion thruster					;../actorData/machine/reactor/ion_thruster_576_256_4															;true					;2												;005	;004										;004		;001		;576							 ;256									;000									 	;000									 	;000									;000										;none
#hydrOK				;hydraulic OK					;machines/hydraulic_ok																																													;true					;1												;000	;000										;000		;000		;000							 ;000									;000									 	;064									 	;128									;064										;none
masch1				;maschine									;machines/props_machine_0																																										;true					;1												;000	;000										;000		;000		;000							 ;000									;000									 	;032									 	;128									;096										;none
opFlor				;open floor							;machines/prop_maintenance_open_floor																														;true					;1												;000	;000										;000		;000		;000							 ;000									;000									 	;000									 	;000									;000										;none

#Miscellangelious
elev__				;elevator									;../actorData/doors/updown/elevator/base_3x2																							;false				;0												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
antena				;antenna										;machines/antenna																																																		;true					;1												;0			;0												;0				;0				;000								;000									;000									 	;000									 	;000									;000										;none
anten0				;antenna										;machines/antenna_big_0																																												;true					;1												;0			;0												;0				;0				;000								;000									;000									 	;000									 	;000									;000										;none
anten1				;antenna										;machines/antenna_big_1																																												;true					;1												;0			;0												;0				;0				;000								;000									;000									 	;000									 	;000									;000										;none
antenR				;antenna										;machines/antenna_radio																																												;true					;1												;0			;0												;0				;0				;000								;000									;000									 	;000									 	;000									;000										;none


ACTORS:
#code 					;actorFileN																														;IngameName															;sprite-status						;sensor-status										;direction
player					;player																																		;Revolutionary												;default												;default																;north
tender					;character/tenderer/tenderer													;Theo the tenderer								;day0															;default																;south
exit__					;doors/vertical/autoBulkheadVertical					;exit to docking bay						;on																	;levelchange												;west
autoDo					;doors/vertical/autoBulkheadVertical					;bulkhead																	;on																	;default																;west
door_H					;doors/horizontal/automatedDoor										;bulkhead																	;on																	;default																;south

#spaceway
trigge					;floor/trigger																											;Trigger																		;20x64_off										;readyToFire_20									;undefined
roof__					;../img/walls/spaceway/roof														;roof																					;on																	;waitForMonitor									;west
roof1_					;../img/walls/spaceway/roof														;roof																					;on2																;waitForMonitor									;west
roofw_					;../img/walls/spaceway/roof														;roof																					;full_win 										;waitForMonitor									;west

#freightcapsule
FCtr_0					;floor/trigger																											;Trigger																		;12x5_yellow									;readyToFire_12x5							;undefined
FCr__0					;../img/walls/freightcapsule/roof								;roofFC																			;visible													;waitForMonitor									;none
FCtr_1					;floor/trigger																											;Trigger																		;12x5_yellow									;readyToFire_12x5							;undefined
FCr__1					;../img/walls/freightcapsule/roof								;roofFC																			;visible													;waitForMonitor									;none
FCtr_3					;floor/trigger																											;Trigger																		;12x5_yellow									;readyToFire_12x5							;undefined
FCr__3					;../img/walls/freightcapsule/roof								;roofFC																			;visible													;waitForMonitor									;none
FCtr_4					;floor/trigger																											;Trigger																		;12x5_yellow									;readyToFire_12x5							;undefined
FCr__4					;../img/walls/freightcapsule/roof								;roofFC																			;visible													;waitForMonitor									;none
FCtr_5					;floor/trigger																											;Trigger																		;12x5_yellow									;readyToFire_12x5							;undefined
FCr__5					;../img/walls/freightcapsule/roof								;roofFC																			;visible													;waitForMonitor									;none

#collectibles
box___					;storages/boxSmall/green																	;green Box																;locked 													;default																;none
smalBx					;storages/boxSmall/green																	;green Box																;default													;default																;none
largeB					;storages/greenBoxLarge/largeBox									;green Box																;default													;default																;none
largeC					;storages/greenBoxLarge/largeBox									;green Box																;cut																	;default																;none
flatBx					;storages/box_flat/box_flat														;green flat Box											;default													;default																;none
redKey					;collectibles/key/keycard																;Red Keycard														;red																	;default																;none
key_bl					;collectibles/key/keycard																;Red Keycard  				 							;blue																;default																;undefined
tyxo__					;collectibles/quest/quest																;Tyxo										 										;tyxo																;default																;undefined
algaeS					;collectibles/food/food																		;Algae Stew				 										;algaeStew											;default																;undefined
asiaBe					;collectibles/food/food																		;Asia Star Bento										;asiastar												;default																;undefined

techni					;character/technician/technician									;technician															;default													;default																;south

elevSc					;doors/updown/elevator/elevator										;main elevator												;toCrewDeck										;default																;undefined

#air System
airVeR					;airSystem/airVent/airVent															;Right ventilation								;off																;default							;undefined
airVeL					;airSystem/airVent/airVent															;Left ventilation									;baseSystemOffline		;default							;undefined
hydrOK					;airSystem/hydraulic/hydraulic											;Air hub																		;OFF																;default							;undefined

position:
redKey	;2140; 455; on the control terminal

ACTORGROUPS:
#System-Name											;Logic																										;Influenced-System	;members by actorId (logic-Options: isBaseSystem)
#level change
dockingBay													;levelchange																				;northDoor									;exit__

#spaceway
triggerRoof											 ;transitionOnChange													;SW_roof											;trigge
SW_roof																;none																											;none														;roof__ ;roof1_ ;roofw_

#freightcapsule
trigger_FC_0											;transitionOnChange													;FC_roof_0									;FCtr_0
FC_roof_0														;none																											;none														;FCr__0
trigger_FC_1											;transitionOnChange													;FC_roof_1									;FCtr_1
FC_roof_1														;none																											;none														;FCr__1
trigger_FC_3											;transitionOnChange													;FC_roof_3									;FCtr_3
FC_roof_3														;none																											;none														;FCr__3
trigger_FC_4											;transitionOnChange													;FC_roof_4									;FCtr_4
FC_roof_4														;none																											;none														;FCr__4
trigger_FC_6											;transitionOnChange													;FC_roof_6									;FCtr_5
FC_roof_6														;none																											;none														;FCr__5

#Air System
#airSystemMonitor	;none 																										;none 													;airCon ;airVeR; airVeL
airSystemBase				;isBaseSystem 																		;airSystemEnd 					;hydrOK
airSystemEnd					;none 																										;none 													;airVeR ;airVeL

#sets 64 bits tiles as raster ;you can add multiple layers ;later defined layers are higher prioritized in case of same defined heightLayer
#passivlayer will not be checked for interaction or collision
passivlayer:
#			;001			 	;002				;003				;004				;005				;006				;007				;008				;009				;010				;011				;012				;013				;014				;015				;016				;017				;018				;019				;020				;021				;022				;023				;024				;025				;026				;027				;028				;029				;030				;031				;032    ;033    ;034    ;035    ;036    ;037    ;038    ;039    ;040				;041				;042				;043___ ;044___ ;045___	;000046	;000047	;000048 ;000049 ;000049 ;000050 ;000051 ;000052 ;000053 ;000054 ;000055 ;000056 ;000057 ;000058 ;000059 ;000060
001 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;space3 ;__xx__ ;__xx__ ;space3 ;__xx__ ;__xx__ ;space3 ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;space0 ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;space0 ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
002 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;space3 ;__xx__ ;__xx__ ;space0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
003 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
004 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;space1 ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
005 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
006 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRf__1 ;TRf__1 ;TRf__0 ;TRf__1 ;TRf__1 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
007 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
008 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;space1 ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
009 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;space2 ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
010 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
011 ;______  ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
012 ;______  ;space0 ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;__xx__ ;space3 ;__xx__ ;__xx__ ;__xx__ ;spaceC ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
013 ;______  ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;TRf__0 ;TRf__0 ;space3 ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
014 ;______  ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
015 ;______  ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
016 ;______  ;space1 ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;__xx__ ;space3 ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRf__0 ;TRf__0 ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
017 ;______  ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;TRf__0 ;TRf__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRr__0 ;TRf__0 ;TRf__0 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
